Model,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman
SUPERT-Golden ΞΔ,0.22155415006508528,0.2228387826648847,0.22584991359840156,0.19046072019605123,0.27525566668166057,0.2739842206628724
BLANC-Golden ΞΔ,0.06486787270990772,0.08492079115989078,0.09436189862000448,0.06032943328510156,0.10323962116603291,0.10914487692938528
Coverage ¤§,0.07828044512330784,0.04733291079153848,0.09826250147386595,0.1014790666013086,0.07242670352600174,0.08449242902430189
Density ¤§,0.12187484630929017,0.038567471143620545,0.08387311529051682,0.09688357574456102,0.05897413160452239,0.06548397837721531
Compression ¤§,0.1685095597970314,0.24948846437556818,0.25587678756327586,0.2765969807813637,0.3348380934563346,0.501874492143088
Text length ¤§,0.1685095597970314,0.24948846437556818,0.25587678756327586,0.2765969807813637,0.3348380934563346,0.501874492143088
Novelty-1 ¤§,0.021252635190913752,0.2237821175660897,0.2225980333735106,0.27451618749277285,0.3197243383574463,0.42948812593720226
Novelty-2 ¤§,0.1149192103952983,0.05416812781336698,0.01989745744227506,0.06763498620370571,0.0540915082595653,0.029162321595923146
Novelty-3 ¤§,0.21264985816830445,0.004343321435345483,0.009648504974197445,0.042193298145877516,0.04954356116974219,0.006767911780517046
Repetition-1 ¤§,0.09926657125507787,0.21104469006269033,0.08777856440724811,0.21357419839676264,0.24023407329329383,0.30741013032775527
Repetition-2 ¤§,0.06797399671146329,0.2178762583763183,0.10644972286072017,0.22513312667506025,0.2530595140568548,0.30124420182543815
Repetition-3 ¤§,0.09719274897590392,0.25072731473756815,0.1554424942572104,0.23498118474937058,0.2845844980311831,0.34327553077596
SUPERT-PS ¤ε,0.3639560840036438,0.056407205356378394,0.0322428573337343,0.020044765705917348,0.0679354507659923,0.07235831193243118
SUPERT-SS ¤ε,0.38580700925344374,0.08392102558062044,0.04559188711844623,0.047112072827755626,0.07640374597671151,0.0855149930577445
BLANC-Tune-PS ¤Δ,0.10623159414001648,0.011025257671606893,0.007078249325955982,0.0024875447494404463,0.04911234794963202,0.002583112957443068
BLANC-Help-PS ¤Δ,0.11045794633528792,0.029226727967446627,0.010166251911353194,0.02845388333143646,0.005298441562227319,0.02580064760551221
BLANC-Tune-SS ¤Δ,0.1896708535668169,0.04942358581326208,0.035890479047213916,0.04886874207940316,0.07632428759578594,0.0608286426002346
BLANC-Help-SS ¤Δ,0.17825233208742264,0.03499053808377367,0.03861128309625666,0.03912667179247494,0.07439873286301579,0.059488689819905516
BARTScore-PS ¤Δ,0.047118365130865224,0.12962484295382148,0.07668940051715994,0.20371401319612006,0.2034743190939252,0.28409075181896387
BARTScore-SP ¤Δ,0.3798461614774955,0.08209084959625881,0.01395210724347542,0.05427963604754928,0.10369202411263471,0.17147544463616823
