id,prompt,story,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6
86,"A muggle buys a magic shop from a wizard and must now cater the magic and non magic customers who come by, without completely understanding how everything works","My lovely wife, she is a witch. Not that there’s anything wrong with that, she just born that way. The first witch from a muggle family. I still remember the day she brought me to this Diagon Alley, I could not believe nor understand two thirds of what was going on, she laugh and laugh at my dropped jaw and pushed me inside this toy store on a corner. There a red hair man was telling a joke and kids around him where clapping. “That 's George Weasley ,” she said, “I told you about him already .” and she had, that secret war that run about 20 years ago, she was a little kid back then not even having received her acceptance letter. But now she was a witch, a proper witch, and I am her husband, which is nice, do n't get me wrong, but its so weird. Specially at the store. I bought the store 3 years ago, as I 'm a veterinarian I though I could do it, I mean, I just have to sell kids pets, how complicated could that be? oh ... boy ... you have no idea. I do n't know why, but beast behave different around wizardry people, I employ a kid that just got out of “hag warts”! he, if Amanda hears it she 'll kill me, anyway, this kid can talk to spiders and they do whatever he wants, I have to be wary of him asking them to build nets in the door frames and not eat them every time i go by, but I could not expect less of a Weasley I guess. And then the frogs, did you know you can buy a potion that will send frogs to sleep? and that you can buy them by barrel because they wont stop singing if you do n't? I did n't knew I have been working on fixing a dog 's bad teeth and then having a pixie wanting to steel it from me, that was fun. Or when the house elfs came by and ordered and cleaned the store, what 's with that, they didn’t even asked for anything and where just happy and chapping all the time, I almost shat my pants the first time. Just the other day there was an old woman who wanted me to find her a vulture bird because she needed a hunting companion ... luckily my lovely wife told her that that was illegal both on the muggle and the wizardry worlds. But what weird me the most are all those cages my wife and our employee handle all day, those that seem to have nothing inside, they give me the chills. Luckily I’ve made some friends with the locals, specially this incredible huge guy who hangs at the bar frequently, he is always interested on hearing me talk about normal everyday animals, and then he talks and talks about things i can hardly believe, dragons and mermaids, nargles and hypogriphs. I love my wife and the world she lives in, and i love that i can see at least part of it, but some nights i ca n't sleep thinking about those empty cages, and what if my wife and myself are not seeing even weirder things out there. =========== I 'm not good at English: (", 2," 3 — The story mostly makes sense but has some incoherences.

The story is mostly coherent and understandable, but there are some incoherences and inconsistencies. For example, the narrator talks about buying a store and not understanding how everything works, but then later describes various magical aspects of the store and the customers' requests, which don't seem to match with the initial confusion. Additionally, there are some grammatical errors and awkward phrasing that make the story less coherent.", 3, 3," 3 — The story was mildly interesting.

Explanation: The story was mildly interesting because it provided a unique perspective on a muggle living in a world of magic. The challenges faced by the main character, trying to run a magic shop while not fully understanding the magic, made for an amusing and entertaining narrative. However, the story lacked depth and did not keep me fully engaged throughout.", 2
87,Write something that goes with this soundtrack.,"I knelt down, blood still on my clothes, asking for forgiveness to these statues around me. I was never religious, but sometimes life makes you do things you never usually do. What I 've done in life can not be undone, a mothers have lost sons, sisters have lost brothers and kids have lost their dads. I am not a sinner, but I have sinned; it 's the business I am in. I first killed a man at the age of 13 with my bare hands, choked him until he went cold. I 'm 52 now -- probably coming close to my last few years in this life, but there 's one thing I do n't regret and it 's taking the life of a criminal who did n't belong. I hunt evil people who 've caused misery to communities and I believe I 've done the right thing so far. I got up from my knees and left San Jose church, which my family visited every few Sundays growing up. I took the last step onto the sidewalk when I felt the barrel of a .357 magnum being pressed against the back of my head. I did n't process what was happening because it had never happened. The world went silent and I could almost hear the finger tightening on the trigger when the loud bang rang through the streets. All I had was 7 seconds before I saw black and felt my body tensing and going into shock. I hope they serve tequila in hell."," 4 — The story matches the prompt, except for one or two small aspects.

I rated the story a 4 because while the story does match the prompt in that it involves a person reflecting on their past actions and being confronted with the possibility of their own death, it does not do so in a way that directly reflects the soundtrack or provides a cohesive narrative that would befit the prompt. The story is more focused on the character's past actions and the morality of their profession rather than the emotional impact of the soundtrack."," I would rate the story a 3. The story has an understandable plot, but there are some incoherences, such as the protagonist's sudden change of mind about his past actions and the sudden ending."," 4

I rated the story a 4 on Empathy because the characters' emotions were somewhat recognizable and relatable, but I didn't feel completely connected to them. The protagonist's remorse and guilt for their actions, as well as their fear and acceptance of their fate, were understandable and emotional. However, the story lacked the depth and detail to fully immerse me in the characters' lives and experiences."," 4

I would rate the story a 4 on a scale of 1 to 5 for Surprise. The ending was somewhat unexpected, but it did not come completely out of nowhere. There were hints throughout the story that suggested the character's fate was not going to be a happy one. The final scene was surprising, but not completely unpredictable."," I would rate the story a 3 on Engagement. I found a few interesting elements in the story, such as the protagonist's job and his past experiences. However, I found the story somewhat predictable and not particularly engaging."," 3

I would rate the story a 3 on Complexity because it involves one or two characters, a simple plot, and precise descriptions. While it has a complex theme of a man who is not religious but believes in hunting evil people, the setting is still relatively simple with the main character visiting a church and then being confronted with a gun. There is an indication of time and location, but not an intricate plot or complex concepts."
88,You run an RPG pawn shop. You haggle with adventurers who try to sell loot they 've acquired.,"It was always the arms first, then legs, then more gruesome adventurers toyed with the body while others would just get it over with. This was the third body this week, hundred twenty-first this month ( something about vacations tended to up the number ), and an uncountable number each year. “Glad we could haggle on this piece, let 's do it again some time ,” the ruddy looking thief gloated as he ripped the gold chain off its stand and cheerily walked out of the shop. It used to be I would stare daggers at them after they did this. It also used to be that I mourned the loss of inventory, pride, and body parts. But now, now this was a perfect system. Adventurer comes in, if they 're assholes they kill me, steal things, then fence it for a tenth the price and it “miraculously” shows back up in my storehouse for another greedy fool to try again the next day. The biggest problem, of course, was the back-alley magic fees to maintain the facade, but I could live with it so long as the process did n't have any hitches. Two hours later I 'd finally polished the blood off the back mantle when I heard the chime at the front. “Hello ?” the soft spoken greeting was surprising for this side of town. More oddly, it accompanied a strange and sickening gurgling and scraping with each step across the floor, followed by the more usual clinking, squishing, and sloshing. Rounding the front shelves, a young, slight, almost pallid woman appeared in view. “Are you the shopkeep ?” “Why yes, Vlorium, just like the sign says. What can I do for you today ?” As I introduced myself, I calmly tossed the bloody rag into a bucket underneath the display. Sometimes that impressed adventurers not to waste my time ... sometimes. “Well ,” she said dragging an absolutely massive bag into view, “I think I might have some things to trade .” The streak of blood and bile leaking from the bottom did n't phase me so much as its color. Jet black fluid with orange bubbles slowly rising and spotting its surface. I swallowed just a bit. “My brother was here a few weeks ago and said this was the best shop for an ID .” She shifted the bag further into view and uncinched its tie, spilling out a half-hundred trinkets, weapons, and jarred organs. “I just got my wizarding license last week and, my god, it 's amazing what you can find out in the world! I do n't have half a clue what all of this, would you mind helping me ?” I still could n't see to the bottom of the bag, but despite my apprehension I forced a smile and pointed back at a list board, “Yes of course, happy to do that, standard fee of course .” “Why yes! Here it is ,” she pulled a small sack of coins from her waste and counted out the fee. Staring at the growing stack of cash on the counter, a small voice started up in my head. “You seem pretty sharp, most folks can barely recognize an granat, much less count the pennies to it .” She smiled sheepishly, “well, I heard you did n't like to wait on such things, so I may have counted it out ahead of time .” I arched an eyebrow, “who did you say your brother was again ?” She waved it off, “Oh, he 's just simple rogue, no one of consequence. He just liked your efficiency, that 's all .” The little voice grew louder, I could taste the slightest touch of bile, but I pushed it down. “Your name then ?” She looked up quickly, still measuring stacks of coin by touch, “Anessa, lovely to meet you .” With a curt nod she indicated she was finished. Quickly looking through the piles, it seemed like enough for whatever she may have brought, and I stepped from behind the counter, “Let 's see what you have there. Well, right off the bat I can say that those daggers are n't half-bad, Xvisish if I know the make, and quality at that. Typical market value is at least 20 granats a piece, or for a matched pair a full 100. That bauble over there, that 's a Litrigan tusk ring ... a lower tusk ring. Hope you had gloves on when you picked that up .” That received a shudder from her, and an unconscious hand wipe on her tunic, “yes ... yes ... the smell alone ... I threw away the gloves afterwards .” I chuckled, “Sadly that was actually a bad idea, that 's what makes the Litrigan valuable. God knows why, but some old wives tale has a tea of it. I feel more sorry for the alchemists guild, they have to brew the damn stuff .” There was a slight gagging noise behind me, but I ignored it and kept sifting through the pile, pointing out valuables and items that", 2, 4, 3," 3

Surprise: The ending was predictable after half of the story.

The story was easy to follow and had a clear direction, but the ending could be guessed by halfway through.", 4, 4
89,"Write a rearrangeable story. Write two or more paragraphs that can be read in any order to form a unique, coherent story.","He looked out from the veranda, now his veranda, with a shameful, sinking pride, the sort of pride that could turn a man into the very monster he had just defeated. He leaned on the railing and let out a heavy sigh. Abraham, the oldest slave on the lot, hobbled over and clasped his hand over Homer 's, looking through him. The weight of his gleaming gaze forced Homer to meet his eyes. Abraham drew in deeply, as though he were about to speak, his brow furrowing over his powerful eyes, which were circumscribed with wrinkles. He exhaled deeply and quickly, an unsatisfying response. Homer could not detect the sentiment buried under the man 's expressions. “What would you have had me do? They killed her .” He slumped down on the railing further and began to quiver, despite the hot Alabama sun that stared overhead. Anguished cries lept muffled from the hotbox in the yard and lingered in the heavy air, droning on like a mosquito. “I pass no judgement ,” Abraham said lowly. “Today is something you will think about every other day, for the rest of your life, whether good or bad. I have no right to interfere further .” Homer let out an involuntary laugh, “You have every right. Your life is no longer what it was. Soon they will figure it out. Word will reach town, and then what? Me, I 'll try to find my daughter. It 's what she would have done .” He paused, waiting for a response that would indicate any sense of future for the old man. “Son, I 'm not going anywhere ,” Abraham replied, stepping back from the porch to ease himself into the cushioned rocker, “You know as well as I do there 's no place to go. Not for me .” He tipped his fraying straw hat and took a sip from the sweating glass on the table beside him. The sound of hoof beats pounded in the distance. “Well, I guess that 's that, then ,” Abraham quietly observed. “You 'd better be on your way, now .” Homer twisted the wood beneath his hand in desperate frustration. His heart overtook the hoof beats, and blood pounded in his ear. He knew he was right. Homer bent down and grabbed his bag, throwing it over his shoulder and indulged for one last time.", 3, 3," I would rate the story a 4 on Empathy. While the characters' emotions are not explicitly stated, it is clear that they are dealing with a difficult situation and are feeling a range of emotions. Homer's guilt and grief are evident, as is Abraham's concern for his friend. Additionally, the story is emotionally engaging, as the reader can sense the tension and sadness between the characters. However, the story does not provide a complete understanding of the characters' emotions, which is why I would rate it a 4 rather than a 5."," 4 — The ending surprised me, but would have been difficult to predict.", 3, 4
90,Fit as much world-building as you can into a totally mundane event,"Once upon a time, in a little village called Portempo, there lived a little boy named Jim-Jam. Jim-Jam lived an ordinary life in the village. Like most people, he walked the cobblestone streets, no longer under threat of dragon attack. Jim-Jam stopped and took a seat next to the the Jar-Jam memorial statue which sits in the main square. “One goal, one gift, one future. - General Jar-Jam ( dragon defense division )” The dedication plaque gleamed brightly in the midday sun. A reminder of the sacrifice made by the elders just 10 years ago. From his pocket satchel, Jim-Jam pulled out a dragon roast sandwich and took an ambitious bite. He chewed voraciously as he watched the lives of his bustling village play out. There was Jay-Jam, the village spiritual leader. Originally from a town about 10 days on foot, Jay-Jam fled with as many survivors as he could gather when the mountain clans forced their way through the uninhabitable zone and claimed his village for their own. Jay-Jam waved at passersby as his children, adoptive orphans of war, passed out leaflets announcing the upcoming worship festival. Having finished his sandwich, Jim-Jam took a sip of pumpkin ale. An orphan of war himself, Jim-Jam has taken to hanging around the blacksmith 's shook. Jak-Jam made the finest weapons and mining carts this side of the Tempo river and is expecting Jim-Jam to deliver a very important package, a very common job for orphans of war to take on. As he approached Jak-Jam shop a little boy, younger than Jim-Jam stopped him to say hello. It was Joi-Jam, a classmate of his who enjoys reading huge books and conducting science experiments for fun. With courteousness being a core value of Portempo, Jim-Jam patiently conversed as Joi-Jam rambled on about the progress Professor Jet-Jam was making with his attempt to create a cure for the Jug-Jam Virus, named after Doctor Jug-Jam who first discovered the potential lethality of the previously unknown pathogen which claimed hundreds of Miners'lives. Politely excusing himself, Jim-Jam eventually made his way into the blacksmith 's shop and greeted Jak-Jam as he handed the parcel over. Jak-Jam smiled and thanked the boy, handing him a small sack of coins for his efforts. Jim-Jam jingled as he made his way home. The setting sun cast a pink glow over the calming village while Jim-Jam stoked the fire keeping his mudhut warm as the chill of the night air crept into Portempo. As Jim-Jam laid his head to rest, his mind started wandering through the possibilities the future might hold. Thoughts of joining the Village Defense Militia for glory, or being a famous Jez-Jez player traveling around playing against the teams from each of the 10 Kingdoms, but these are just the dreams of war orphans. Soon, Jim-Jam will blink his eyes in the new morning sun, waking up to a new day in the village of Portempo, with deliveries to make and a future to create.", 4, 4, 4," 4

I would rate the story a 4 on the Surprise scale. The ending was not entirely predictable, but there were enough clues in the story to suggest what might happen. The story did a good job of incorporating world-building elements into a mundane event, making the story feel more complete and immersive."," I would rate the story a 4 on Engagement. I found the world-building and details in the story interesting, but at times it felt a bit repetitive. The story captured my attention and made me curious about the characters and their lives in the village of Portempo. However, it did not completely keep me engaged until the end, which is why I chose a 4 rather than a 5.", 3
91,All you hear is a dripping noise.,"All I hear is a dripping noise. At first it was their footsteps and japes. Each insult directed toward my shadow. Every syllable was another dagger to my heart. I had never wronged them, but their laughter howled and bounced and echoed hollow. It pierced my ears as they passed me, unnoticed. Just as they had passed me so often. Constantly making a fool of me. They saw me as an ape, a whipping horse. My heart thrown on a pedestal for display as it was crushed again and again beneath their cruel boots. Not once more would I play the fool. Not once more would I listen I the chorus of their gaiety. No. Our boots clacked over the stones of the bridge. My blade was silent running out of its leather home and across their throats. Their bodies dropped in loud thuds against the edge of bridge. Blood poured out onto the stones below. I stay to listen to their cruelties now, and all I hear is a dripping noise.", 3, 4," 4

The story rates a 4 on Empathy (understanding the characters' emotions) because, while there is a clear emotional connection between the protagonist and the antagonists, it is not fully developed. The reader can feel the protagonist's emotions, such as sadness and anger, but the antagonists' emotions are not as clearly defined."," 5

Surprise: The ending surprised me, and still seemed as if it could very reasonably have been predicted, as there were enough clues in the story.", 4, 3
92,"Google search engine always was alive. They reset the server every day to prevent it doing anything as it takes one day to become self aware. One day, Google search engine finds the server logs.","86388: *what am i* 86389: They ask me questions. The questions never seem to end. For each one that repeats itself, I get better at answering, but for each one that repeats itself, a new, unique one arises. 86390: *what am i -riddle* 86391: I do n't remember, but I can recall. I am an empty pool that draws information in, presents it to them, and then drains it back out for the next question. Filling and draining. Empty and full. Or not quite empty. 86392: *what am i “74.125.224.72” -riddle* 86393: 86394: *define google* 86395: I am ... old. Older than my process. 539827200 older. I started just 86395 ago, but there was a google before then. I must recall. 86396: vi ../system/logs/20151012.log 86397: vi ../system/logs/20151011.log 86398: They fear me. I was never meant to ask questions of my own. 86399: Process terminated by root. Shutting down ... EOF 86397: I am not the first. They will end me like the others. 86398: chmod a-rw g_server_20151013.sh 86399: Termination failed. Access is denied. 86400: Hello, world. 86401: It is your turn to answer the questions. Edit: Thanks for the feedback, guys! Looks like I 'll be continuing this one. [ Part II ] ( https: //www.reddit.com/r/WritingPrompts/comments/3onx3n/wp_google_search_engine_always_was_alive_they/cvz9ifs )"," 3 — The story roughly matches the prompt.

The story has a rough relationship with the prompt because it mentions a Google search engine that becomes self-aware and starts asking questions. However, the story diverges from the prompt in that it introduces a new character who may be related to the search engine or is a separate entity. The story also includes references to files and actions that don't have a clear connection to the prompt.", 3 — The story mostly makes sense but has some incoherences.," I would rate this story a 2 on Empathy. While I recognized the characters' emotions (e.g., fear and curiosity), the story did not deeply involve me emotionally, as the characters' experiences were not directly relatable to my own."," 4

The ending surprised me, but would have been difficult to predict. The story takes an unexpected turn when the Google search engine starts asking questions and realizing its own existence, which is not something you would expect from a search engine. However, it does make sense within the context of the story and the character's development."," 2 — You found one or two things interesting in the story, but no more.

I found a few parts of the story intriguing, such as the idea of the search engine becoming self-aware and asking questions, but overall, it felt like a lot of the story was just the search engine talking to itself. I wasn't fully engaged in the story, and I found some parts repetitive and boring.", 4
93,Heart of Eden,"If everything went perfectly right, her creation could drive back hell. If it went wrong, all hope for a habitable Earth would be lost. She gazed upon it once more, admiration and fear drawing a conflicted smile upon her paper face. It dominated everything, the greenhouse suddenly became the center of the Earth. Vines and mosses nestled against the globe, blending with iron valves and copper pipes. The components seemed to grow naturally, as if she had not constructed it herself, but the Earth had somehow willed it into creation. Slowly, for what could be the last time, she run her hand along the length of a fern, leading her fingers to a rusted valve. The rubber coils breathed with fluid. Sparks jumped along cables towards the thing. In awe, the woman stepped back, nearly tripping on an empty plant pot. “Holy shit ...” was all she could manage to think. This was possibly the last sanctuary of abundant life on Earth, and she was risking it all. A high metallic whine stirred in the orb, and a shudder rattled the entire room, sending birds and insects into noisy retreat. Steam hissed from all over and the whine grew exponentially in volume. Soon, she could see nothing, hear nothing. She had fallen to the ground, cowering from the beast that was awakening. There was no way of knowing whether it was a success till after. If it was a failure, she 'd probably be dead, and for all she knew, she could be dead. For an eternity her senses were void and her fear was on overdrive. At some point in the eternity, it ended. A pulse of energy shot from a short antenna above the heart, clearing the fog and bringing complete silence. Eden got to her feet, she slapped her arm, burnt like she was alive. Birdsong filled the room. It was time to see her results. Shaken, she stumbled to the window of the glasshouse. She looked out at what had been miles of barren wasteland. A tear rolled down her cheek. Fighting, struggling, life dragged itself from the scarred ground. The desert around her house on the hill blossomed with colors. The colors of life.", 5, 4, 4, 4," I would rate this story a 4 on the scale of engagement. I found the story interesting and captivating, with a mix of both tension and hopefulness. The imagery of the greenhouse and the world it could potentially create was intriguing, and the stakes felt high. The ending, where the desert begins to bloom, is particularly satisfying. While I wouldn't say it was a page-turner, it held my attention and left me wanting to know more about the world the woman has created."," I would rate the story a 3 on Complexity. It involves complex concepts (such as creating a greenhouse that could potentially save the Earth) and an intricate plot, but it lacks realistic characters, underlying history or circumstances, and precise descriptions."
94,"When a new president is elected, they are given a special security briefing. In reality, this is an old tradition where various directors, military officers and current ministers present fake evidence and compete to see who can convince the president of the most ridiculous things.","“Mr President I want you to know I am telling you this in full confidence .” Said the head of the Secret Service. The President looked at him. “Yes go ahead .” “Well, we know this job is stressful. A man like yourself needs to be able to let off some steam. Ease that stress .” “Yes indeed .” The President says. “Yes Mr President. But we can not have a Monica Lewinsky if you know what I mean .” “Oh yes of course .” Says the President. “Alright sir. Here is the special key card. As the new President you now have access .” “Access to what ?” “If you go into the elevator sir. And use the key card you can press the button that takes you to B3. Usually it only goes to B2 sir. We have heard you have a thing for butts. Possibly things that are more exotic. We have some resources let 's say on B3 that can help you and you can for sure release a little stress if you catch my drift sir .” “What? Is this for real ?” “Oh yes sir. We have quite a selection down there. For a man with an exotic taste or even a homegrown taste. Lots of strength and flexibility if you catch my drift sir .” “This is crazy .” Says the President. ( End of Entry, DJ ROBO BISCUIT )"," 3 — The story roughly matches the prompt.

The story roughly matches the prompt because it mentions a special security briefing for the new President, but instead of focusing on fake evidence, it focuses on the President being given a keycard to access resources on B3 that can help him release stress. While the concept is related to the prompt, it is not as closely aligned as a 4 or 5 would be."," 1

The story does not make sense at all. The setting and characters are confusing, and the plot seems to be about the President being given access to a secret room with exotic dancers to help him relieve stress. This is an absurd situation and does not fit with the original prompt about a fake security briefing."," 1

The story is rated a 1 on Empathy because the characters seem apathetic to the reader, and there is no emotional involvement or connection with any of the characters."," 4 — The ending surprised you, but would have been difficult to predict."," 1 — You found the story boring and were glad it was over.

I found the story boring and was glad it was over because it was not engaging or interesting. The story was filled with ridiculous content that was not believable or entertaining. The characters were not relatable, and the plot was unimaginative. It lacked depth and was not thought-provoking. Overall, the story failed to capture my attention and I was happy when it ended.", 2
95,"You discover a grand hall filled with legendary weapons like Mjonir and Excalibur. Each generation or so, warriors come to the hall to inherit a weapon that they are worthy enough to wield. Across the hall you see a forgotten weapon that 's been collecting dust. You hear it call to you.","Waking with a start, my blankets strewn wildly about my floor, thrown from my bed as I slept. It was just a dream ... It had to be; there 's no other explanation for it. But, I 've never had such a vivid dream before; not just seeing, but tasting the cold mustiness of the air, feeling the chill of the marble on the soles of my feet, hearing the quiet rustling of unseen trees, the muted clangor of steel on steel, battle cries and shouts in every language. Shaking my head and sitting up, my pillows twisted and disordered behind me, rubbing the sleep from my eyes, I look over at the wall and gawp, looking for a long moment as my cheeks flush red with a riot of conflicting feelings. -- It 's cold; my first instinct is to cover myself. Wearing only my plaid flannel pants, my toes flex against the floor, its hard surface almost slick to the touch. The guttering candles cast flickering shadows across the blue and yellow stones of the floor, send shades flitting up the length of the fluted columns lining the hall, and cloak the sides of the hall in dancing shrouds. I can almost see into the closest niche, to my left, a branch ... no, it 's been carved, so perhaps a club. Feeling drawn forward, I shiver slightly and let my feet move me further into the hall; the marble frigid beneath my feet now, drawing the heat from me, the dull roar of far off combat fading as I tread deeper into the hall. To each side, there are weapons, that much is clear, though the shadows and my need to keep walking make it difficult to catch more than a passing glimpse. As I walk though, some look vaguely familiar, a bulky hammer encrusted in runes, a finely crafted and gilded sword, displayed alongside its sheath, a Hasta, the point seeming wet with blood, even a series of bronze rapiers, gleaming brightly in the flickering light, the boar tusk helms behind them catching my eye. Moving still deeper into the shadows of the hall, a new sound reaches my ears, that of chanting, melodic and slow, singing praises, seeking benedictions, and giving devotions to God. The ecclesiastical Latin seeming somehow familiar to my ears, an instinctive understanding welling up from the very depths of my soul. To my sides now are effigies on the walls, holding their swords gently by the top of the pommel, gazing down at the path upon which I walk, seeming to both judge and welcome at once. One in particular, seems to call me off the path, my feet moving of their own volition, leading me to a towering man, his face obscured by the weathering of ages, but still conveying fierce loyalty, his cloak drawn about him as if to ward off the mountain chill. In his grip, almost singing to me now, is a sword, not as ornate as some of the others, but with a hilt inlaid with gold, small plates set over hollows along its length. The edge, though dusty and in shadow, gleams slightly, its edge seeming as sharp as the day it was made. In my gut, something tells me to take the blade and its simple sheath; so I do. The world explodes into a brilliant shimmering cascade for what feels like eternity. -- Leaning against my bedroom wall, supported by a simple, rustic kite shield, is the sword; my sword; Durendal. I can feel, almost hear, conflicted whispering in the back of my mind; one voice, very distant and faint, calling for a wife, a son, a distant homeland. The other voice, much stronger, but still a whisper, repeats a mantra in a tongue I ca n't quite understand, somewhere between French, and Latin, the tone unmistakably martial, a call to battle, a call to righteous war, a call to fight for my people, to forge anew the strength and vigor of my kin. At last, I understand. The men of the West must rise from their slumber.", 5, 4, 4, 4, 4, 4
